ts,ticker,action,price,qty,dollars,confidence,regime,vix,portfolio_value,notes,order_id,status,run_date,iv_flag,iv_scale,notional
2026-08-04T15:28:46.772891,ELV,BUY,382.77,9,,0.5,1,,,,e2483e36-05bc-4614-a227-c0a3ea3e4a47,filled,2026-08-04,NORMAL,1.0,3444.93
2026-08-04T15:28:49.896296,IQV,BUY,233.36,9,,0.5,0,,,,4c65ab36-498c-42f7-bb6d-ec146229a164,filled,2026-08-04,NORMAL,1.0,2100.24
2026-08-04T15:29:08.023729,DPZ,BUY,364.41,8,,0.5,2,,,,58e73375-abce-4c99-a42e-475ef162b1eb,filled,2026-08-04,NORMAL,1.0,2915.28
2026-08-04T15:29:11.623125,RCL,BUY,324.0,11,,0.7263,1,,,,dc7c5b8e-58ad-4b73-928f-f78d71857897,filled,2026-08-04,NORMAL,1.0,3564.0
2026-08-04T15:29:23.634575,HSY,BUY,177.67,21,,0.6688,1,,,,237e7362-0eca-4b97-9137-be670b548265,filled,2026-08-04,NORMAL,1.0,3731.07
2026-08-05T15:43:51.522367,SJM,BUY,119.17,26,,0.6692,1,,,,88f439c0-1537-4be7-8d2b-aa8002874b85,filled,2026-08-05,NORMAL,1.0,3098.42
2026-08-05T15:43:54.675254,HSY,BUY,179.04,16,,0.6926,2,,,,6aba4b94-08f7-4c6c-a675-bb0d63514d81,filled,2026-08-05,NORMAL,1.0,2864.64
2026-08-05T15:44:21.247626,BA,BUY,237.16,10,,0.6666,0,,,,b0d3dcc3-49fe-4447-ac4a-be2be9ed2a66,filled,2026-08-05,NORMAL,1.0,2371.6
2026-08-05T15:44:38.605428,TDG,BUY,1275.05,2,,0.7102,1,,,,e14766bf-4829-43f1-8480-c821e50449d7,filled,2026-08-05,NORMAL,1.0,2550.1
2026-08-06T15:57:02.951699,ZBH,BUY,98.16,32,,0.6983,2,,,,4b220cfb-8724-4fbb-a2e3-aedbc49c755b,filled,2026-08-06,NORMAL,1.0,3141.12
2026-08-06T15:57:34.083110,EL,BUY,86.96,36,,0.7555,2,,,,4a18eea0-3248-4797-9353-f4811c60816c,filled,2026-08-06,NORMAL,1.0,3130.56
2026-08-06T15:58:15.178479,ETN,BUY,447.28,8,,0.7223,1,,,,f32045a5-fd4d-4926-82e6-6acf71020702,filled,2026-08-06,NORMAL,1.0,3578.24
2026-08-06T15:58:32.813835,NUE,BUY,274.74,8,,0.7069,0,,,,c0645d55-2406-45a9-88dd-964f8c746871,filled,2026-08-06,NORMAL,1.0,2197.92
