date,pair,z_score,action,hedge_ratio
2026-07-09,NVDA/LRCX,-0.1616,EXIT,0.906221
2026-07-09,NVDA/KLAC,-0.4803,EXIT,0.973565
2026-07-09,NVDA/AMAT,-0.4118,EXIT,0.830514
2026-07-09,JNJ/AMGN,1.2748,HOLD,0.943243
2026-07-09,GILD/AMGN,-0.732,HOLD,0.829782
2026-07-09,AMAT/KLAC,0.7001,HOLD,1.172839
2026-07-09,AAPL/META,1.7144,HOLD,0.896766
2026-07-10,JPM/BAC,0.6717,HOLD,1.424559
2026-07-10,DDOG/CRWD,0.0199,EXIT,1.057696
2026-07-10,NVDA/AMD,-0.6659,HOLD,0.845407
2026-07-10,NVDA/INTC,0.3655,EXIT,1.125533
2026-07-10,PFE/GILD,-1.642,HOLD,0.651627
2026-07-10,NVDA/TXN,0.2058,EXIT,0.929291
2026-07-10,MU/KLAC,-0.1992,EXIT,1.267132
2026-07-10,JNJ/MRK,1.2327,HOLD,1.150508
2026-07-10,KO/SBUX,0.5717,HOLD,0.949307
2026-07-10,NVDA/MU,0.3857,EXIT,0.77373
2026-07-10,NVDA/ADI,0.7859,HOLD,0.891372
2026-07-10,NVDA/QCOM,1.1689,HOLD,1.015926
2026-07-10,NVDA/KLAC,0.3502,EXIT,0.979336
2026-07-10,NVDA/LRCX,0.5793,HOLD,0.909305
2026-07-10,NVDA/AMAT,0.2909,EXIT,0.834002
2026-07-10,JNJ/AMGN,1.0117,HOLD,0.94202
2026-07-10,AMAT/KLAC,1.1318,HOLD,1.174992
2026-07-10,CMG/YUM,0.4193,EXIT,0.695199
2026-07-10,AAPL/META,2.5145,ENTER_SHORT_Y,0.889169
2026-07-11,JPM/BAC,0.6396,HOLD,1.424705
2026-07-11,DDOG/CRWD,0.146,EXIT,1.058199
2026-07-11,NVDA/AMD,-0.4719,EXIT,0.845294
2026-07-11,NVDA/INTC,0.5838,HOLD,1.125764
2026-07-11,PFE/GILD,-1.6062,HOLD,0.651769
2026-07-11,NVDA/TXN,0.3896,EXIT,0.929966
2026-07-11,MU/KLAC,-0.3758,EXIT,1.266379
2026-07-11,JNJ/MRK,1.3026,HOLD,1.150693
2026-07-11,KO/SBUX,0.7071,HOLD,0.949803
2026-07-11,NVDA/MU,0.5714,HOLD,0.773864
2026-07-11,NVDA/ADI,0.9583,HOLD,0.891922
2026-07-11,NVDA/QCOM,1.31,HOLD,1.016315
2026-07-11,NVDA/KLAC,0.4912,EXIT,0.978902
2026-07-11,NVDA/AMAT,0.459,EXIT,0.834359
2026-07-11,JNJ/AMGN,1.0411,HOLD,0.942164
2026-07-11,AMAT/KLAC,0.9134,HOLD,1.174021
2026-07-11,CMG/YUM,0.3223,EXIT,0.695164
2026-07-11,AAPL/META,2.5845,ENTER_SHORT_Y,0.889737
2026-07-13,JPM/BAC,0.3437,EXIT,1.424316
2026-07-13,DDOG/CRWD,0.4059,EXIT,1.06065
2026-07-13,NVDA/AMD,-0.8309,HOLD,0.845519
2026-07-13,NVDA/INTC,0.2886,EXIT,1.133344
2026-07-13,PFE/GILD,-1.224,HOLD,0.653674
2026-07-13,NVDA/TXN,0.1535,EXIT,0.931342
2026-07-13,JNJ/MRK,1.4186,HOLD,1.15143
2026-07-13,MU/KLAC,-0.0998,EXIT,1.265818
2026-07-13,KO/SBUX,0.4261,EXIT,0.948445
2026-07-13,NVDA/MU,0.2893,EXIT,0.776784
2026-07-13,NVDA/ADI,0.7213,HOLD,0.893449
2026-07-13,NVDA/QCOM,1.0634,HOLD,1.017865
2026-07-13,NVDA/KLAC,0.2757,EXIT,0.98205
2026-07-13,NVDA/LRCX,0.5407,HOLD,0.913419
2026-07-13,AAPL/META,2.489,ENTER_SHORT_Y,0.888042
2026-07-14,JPM/BAC,0.8755,HOLD,1.422934
2026-07-14,NVDA/AMD,-0.684,HOLD,0.845232
2026-07-14,DDOG/CRWD,-1.2465,HOLD,1.055052
2026-07-14,NVDA/INTC,0.4272,EXIT,1.137491
2026-07-14,PFE/GILD,-1.5382,HOLD,0.653753
2026-07-14,NVDA/TXN,0.2431,EXIT,0.931991
2026-07-14,JNJ/MRK,1.4585,HOLD,1.152258
2026-07-14,MU/KLAC,-0.311,EXIT,1.266017
2026-07-14,KO/SBUX,0.56,HOLD,0.948586
2026-07-14,NVDA/MU,0.3687,EXIT,0.775507
2026-07-14,NVDA/ADI,0.7613,HOLD,0.892686
2026-07-14,NVDA/QCOM,1.4021,HOLD,1.022211
2026-07-14,NVDA/KLAC,0.3084,EXIT,0.981225
2026-07-14,NVDA/LRCX,0.598,HOLD,0.913281
2026-07-14,NVDA/AMAT,0.3154,EXIT,0.835953
2026-07-14,JNJ/AMGN,1.2776,HOLD,0.942352
2026-07-14,AMAT/KLAC,0.6792,HOLD,1.174229
2026-07-14,GILD/AMGN,-0.9184,HOLD,0.828703
2026-07-14,AAPL/META,2.2515,ENTER_SHORT_Y,0.887503
2026-07-15,JPM/BAC,1.504,HOLD,1.422369
2026-07-15,NVDA/AMD,-0.3472,EXIT,0.85078
2026-07-15,DDOG/CRWD,-1.455,HOLD,1.050791
2026-07-15,NVDA/INTC,0.5631,HOLD,1.144449
2026-07-15,PFE/GILD,-1.1116,HOLD,0.655005
2026-07-15,JNJ/MRK,0.7149,HOLD,1.150705
2026-07-15,NVDA/TXN,0.3252,EXIT,0.934536
2026-07-15,MU/KLAC,-0.1628,EXIT,1.264294
2026-07-15,KO/SBUX,0.3695,EXIT,0.94774
2026-07-15,NVDA/MU,0.5096,HOLD,0.780524
2026-07-15,NVDA/ADI,0.8515,HOLD,0.895079
2026-07-15,NVDA/QCOM,1.4972,HOLD,1.027438
2026-07-15,JNJ/AMGN,0.9751,HOLD,0.941306
2026-07-15,AMAT/KLAC,1.0249,HOLD,1.175638
2026-07-15,GILD/AMGN,-0.7516,HOLD,0.829376
2026-07-16,JPM/BAC,0.9513,HOLD,1.42103
2026-07-16,NVDA/AMD,-0.4222,EXIT,0.853234
2026-07-16,DDOG/CRWD,-1.3583,HOLD,1.048902
2026-07-16,NVDA/INTC,0.4852,EXIT,1.150803
2026-07-16,PFE/GILD,-0.6667,HOLD,0.656937
2026-07-16,NVDA/TXN,0.3481,EXIT,0.937755
2026-07-16,MU/KLAC,-0.6459,HOLD,1.257329
2026-07-16,KO/SBUX,0.4625,EXIT,0.947656
2026-07-16,JNJ/MRK,-0.4449,EXIT,1.144834
2026-07-16,NVDA/MU,0.4695,EXIT,0.785911
2026-07-16,NVDA/ADI,0.7926,HOLD,0.896506
2026-07-16,NVDA/QCOM,1.4621,HOLD,1.030712
2026-07-16,JNJ/AMGN,0.2023,EXIT,0.937376
2026-07-16,GILD/AMGN,-1.0778,HOLD,0.8286
2026-07-16,AMAT/KLAC,0.8771,HOLD,1.175131
2026-07-17,JPM/BAC,0.8159,HOLD,1.419686
2026-07-17,NVDA/AMD,-0.6696,HOLD,0.85523
2026-07-17,DDOG/CRWD,-1.5673,HOLD,1.046784
2026-07-17,NVDA/INTC,0.2709,EXIT,1.157962
2026-07-17,PFE/GILD,-1.1225,HOLD,0.655584
2026-07-17,NVDA/TXN,0.1623,EXIT,0.93903
2026-07-17,MU/KLAC,0.0426,EXIT,1.25986
2026-07-17,JNJ/MRK,-0.1109,EXIT,1.142793
2026-07-17,KO/SBUX,0.1937,EXIT,0.947006
2026-07-17,NVDA/MU,0.1556,EXIT,0.785358
2026-07-17,NVDA/ADI,0.6026,HOLD,0.896947
2026-07-17,JNJ/AMGN,0.4833,EXIT,0.93684
2026-07-17,MRK/BMY,0.2441,EXIT,1.18282
2026-07-17,GILD/AMGN,-0.4472,EXIT,0.831001
2026-07-17,AMAT/KLAC,0.6627,HOLD,1.173807
2026-07-17,GOOGL/META,0.7342,HOLD,0.906078
2026-07-20,JPM/BAC,0.4686,EXIT,1.419289
2026-07-20,NVDA/AMD,-0.6768,HOLD,0.85417
2026-07-20,DDOG/CRWD,-0.812,HOLD,1.049171
2026-07-20,NVDA/INTC,0.2722,EXIT,1.158585
2026-07-20,PFE/GILD,-1.0402,HOLD,0.656488
2026-07-20,NVDA/TXN,0.1665,EXIT,0.939115
2026-07-20,MU/KLAC,0.4437,EXIT,1.262499
2026-07-20,KO/SBUX,0.2229,EXIT,0.946597
2026-07-20,JNJ/MRK,0.2129,EXIT,1.143368
2026-07-20,NVDA/MU,0.2121,EXIT,0.785522
2026-07-20,NVDA/ADI,0.62,HOLD,0.896368
2026-07-20,NVDA/QCOM,1.2817,HOLD,1.032517
2026-07-20,JNJ/AMGN,0.4861,EXIT,0.936683
2026-07-20,MRK/BMY,0.0773,EXIT,1.181108
2026-07-20,GILD/AMGN,-0.874,HOLD,0.829644
2026-07-20,AMAT/KLAC,0.6844,HOLD,1.172738
2026-07-21,JPM/BAC,0.9036,HOLD,1.41984
2026-07-21,NVDA/AMD,-0.8008,HOLD,0.851894
2026-07-21,DDOG/CRWD,-0.4502,EXIT,1.051393
2026-07-21,NVDA/INTC,0.1313,EXIT,1.154728
2026-07-21,PFE/GILD,-0.6165,HOLD,0.657721
2026-07-21,NVDA/TXN,0.0948,EXIT,0.938762
2026-07-21,MU/KLAC,0.5697,HOLD,1.267685
2026-07-21,KO/SBUX,0.3843,EXIT,0.947212
2026-07-21,JNJ/MRK,0.16,EXIT,1.143362
2026-07-21,NVDA/MU,0.0994,EXIT,0.781536
2026-07-21,NVDA/ADI,0.5968,HOLD,0.896466
2026-07-21,NVDA/QCOM,1.2651,HOLD,1.033032
2026-07-21,JNJ/AMGN,0.5728,HOLD,0.936382
2026-07-21,MRK/BMY,0.1871,EXIT,1.180188
2026-07-21,GILD/AMGN,-1.3356,HOLD,0.82802
2026-07-21,AMAT/KLAC,1.1016,HOLD,1.175279
2026-07-22,JPM/BAC,1.229,HOLD,1.419775
2026-07-22,NVDA/AMD,-0.13,EXIT,0.849624
2026-07-22,DDOG/CRWD,-0.3716,EXIT,1.052523
2026-07-22,NVDA/INTC,0.8377,HOLD,1.152389
2026-07-22,NVDA/TXN,0.7036,HOLD,0.940785
2026-07-22,PFE/GILD,-0.6043,HOLD,0.658624
2026-07-22,KO/SBUX,0.6082,HOLD,0.948096
2026-07-22,MU/KLAC,0.7596,HOLD,1.273311
2026-07-22,JNJ/MRK,0.2827,EXIT,1.142454
2026-07-22,NVDA/MU,0.716,HOLD,0.779981
2026-07-22,NVDA/ADI,1.1699,HOLD,0.898278
2026-07-22,NVDA/QCOM,1.7159,HOLD,1.034215
2026-07-22,JNJ/AMGN,0.6849,HOLD,0.937021
2026-07-22,MRK/BMY,0.3617,EXIT,1.180108
2026-07-22,GILD/AMGN,-1.3432,HOLD,0.82675
2026-07-22,AMAT/KLAC,1.037,HOLD,1.175954
2026-07-22,CMG/YUM,-0.9783,HOLD,0.701157
2026-07-22,AAPL/META,2.2208,ENTER_SHORT_Y,0.896086
2026-07-23,JPM/BAC,1.6433,HOLD,1.421347
2026-07-23,NVDA/AMD,-0.5498,HOLD,0.849177
2026-07-23,DDOG/CRWD,-0.143,EXIT,1.052868
2026-07-23,NVDA/INTC,0.4522,EXIT,1.155457
2026-07-23,PFE/GILD,-0.4245,EXIT,0.659572
2026-07-23,KO/SBUX,0.6825,HOLD,0.949008
2026-07-23,NVDA/TXN,0.4586,EXIT,0.942613
2026-07-23,JNJ/MRK,0.2844,EXIT,1.142151
2026-07-23,MU/KLAC,0.9953,HOLD,1.277807
2026-07-23,NVDA/MU,0.2592,EXIT,0.777324
2026-07-23,NVDA/ADI,0.8764,HOLD,0.898983
2026-07-23,JNJ/AMGN,1.0091,HOLD,0.938954
2026-07-23,NVDA/QCOM,1.5888,HOLD,1.037097
2026-07-23,MRK/BMY,0.5275,HOLD,1.180942
2026-07-23,AMAT/KLAC,1.2807,HOLD,1.177537
2026-07-23,GOOGL/META,-0.4719,EXIT,0.903597
2026-07-23,CVX/COP,0.8726,HOLD,1.101286
2026-07-23,AAPL/META,1.6363,HOLD,0.899019
2026-07-24,JPM/BAC,1.8236,HOLD,1.421155
2026-07-24,NVDA/AMD,-0.4599,EXIT,0.849419
2026-07-24,DDOG/CRWD,-0.1449,EXIT,1.052915
2026-07-24,NVDA/INTC,0.5553,HOLD,1.15646
2026-07-24,PFE/GILD,-0.5341,HOLD,0.659231
2026-07-24,KO/SBUX,0.4032,EXIT,0.948161
2026-07-24,NVDA/TXN,0.5141,HOLD,0.942636
2026-07-24,MU/KLAC,0.6693,HOLD,1.275902
2026-07-24,JNJ/MRK,0.3405,EXIT,1.142322
2026-07-24,NVDA/MU,0.3283,EXIT,0.777491
2026-07-24,JNJ/AMGN,0.7503,HOLD,0.938232
2026-07-24,NVDA/ADI,0.8898,HOLD,0.898438
2026-07-24,NVDA/QCOM,1.5806,HOLD,1.03632
2026-07-24,MRK/BMY,0.5256,HOLD,1.180927
2026-07-24,AMAT/KLAC,0.8258,HOLD,1.175511
2026-07-24,GOOGL/META,-0.4264,EXIT,0.902491
2026-07-24,CVX/COP,0.9079,HOLD,1.101654
2026-07-24,AAPL/META,1.7452,HOLD,0.898667
2026-07-27,JPM/BAC,1.8986,HOLD,1.421112
2026-07-27,DDOG/CRWD,0.362,EXIT,1.0562
2026-07-27,NVDA/AMD,-1.5031,HOLD,0.852282
2026-07-27,NVDA/INTC,-0.5445,HOLD,1.163611
2026-07-27,PFE/GILD,-0.3513,EXIT,0.656478
2026-07-27,KO/SBUX,1.0706,HOLD,0.949866
2026-07-27,NVDA/TXN,-0.5351,HOLD,0.941791
2026-07-27,JNJ/MRK,1.1644,HOLD,1.143403
2026-07-27,MU/KLAC,1.428,HOLD,1.278103
2026-07-27,NVDA/MU,-0.6711,HOLD,0.778915
2026-07-27,NVDA/QCOM,0.6693,HOLD,1.035165
2026-07-27,NVDA/ADI,-0.0496,EXIT,0.897425
2026-07-27,JNJ/AMGN,0.9278,HOLD,0.939789
2026-07-27,NOW/ZS,0.0481,EXIT,0.925437
2026-07-27,MRK/BMY,0.1577,EXIT,1.180105
2026-07-27,AMAT/KLAC,0.9033,HOLD,1.175122
2026-07-27,GOOGL/META,-0.2703,EXIT,0.903616
2026-07-27,CVX/COP,1.063,HOLD,1.102042
2026-07-28,JPM/BAC,1.8979,HOLD,1.421463
2026-07-28,GS/C,0.9495,HOLD,1.425612
2026-07-28,PFE/GILD,0.0219,EXIT,0.657819
2026-07-28,DDOG/CRWD,0.5683,HOLD,1.060428
2026-07-28,NVDA/AMD,-1.1364,HOLD,0.855791
2026-07-28,NVDA/INTC,-0.3385,EXIT,1.17144
2026-07-28,MRK/AMGN,-0.5651,HOLD,0.820258
2026-07-28,JNJ/AMGN,0.1271,EXIT,0.939217
2026-07-28,KO/SBUX,2.9904,ENTER_SHORT_Y,0.957212
2026-07-28,NVDA/TXN,-0.4963,EXIT,0.940031
2026-07-28,JNJ/MRK,1.3956,HOLD,1.14479
2026-07-28,MU/KLAC,1.3696,HOLD,1.277239
2026-07-28,NVDA/MU,-0.4389,EXIT,0.782293
2026-07-28,NVDA/QCOM,0.7369,HOLD,1.03385
2026-07-28,NVDA/KLAC,-0.1333,EXIT,0.998498
2026-07-28,MRK/BMY,-0.1844,EXIT,1.178197
2026-07-28,AMAT/KLAC,0.8071,HOLD,1.174508
2026-07-28,GOOGL/META,-0.3077,EXIT,0.906595
2026-07-28,AAPL/META,2.1917,ENTER_SHORT_Y,0.909504
2026-07-29,JPM/BAC,1.1899,HOLD,1.421392
2026-07-29,DDOG/CRWD,1.1015,HOLD,1.063688
2026-07-29,NVDA/AMD,-1.6781,HOLD,0.861318
2026-07-29,NVDA/INTC,-0.983,HOLD,1.178611
2026-07-29,PFE/GILD,0.0625,EXIT,0.65858
2026-07-29,NVDA/TXN,-1.0084,HOLD,0.939638
2026-07-29,JNJ/MRK,1.2472,HOLD,1.144555
2026-07-29,KO/SBUX,3.2708,ENTER_SHORT_Y,0.961621
2026-07-29,JNJ/AMGN,0.1399,EXIT,0.937397
2026-07-29,NVDA/MU,-1.0169,HOLD,0.785898
2026-07-29,MU/KLAC,2.4999,ENTER_SHORT_Y,1.282185
2026-07-29,NVDA/QCOM,0.3834,EXIT,1.035858
2026-07-29,NVDA/ADI,-0.4769,EXIT,0.895246
2026-07-29,GOOGL/META,-0.3989,EXIT,0.908813
2026-07-29,LRCX/KLAC,-0.2715,EXIT,1.070333
2026-07-30,JPM/BAC,1.2563,HOLD,1.421454
2026-07-30,DDOG/CRWD,1.3864,HOLD,1.068854
2026-07-30,NVDA/AMD,-1.9439,HOLD,0.856442
2026-07-30,NVDA/INTC,-1.0917,HOLD,1.173584
2026-07-30,KO/SBUX,1.7675,HOLD,0.959452
2026-07-30,PFE/GILD,-0.2082,EXIT,0.658811
2026-07-30,NVDA/TXN,-1.0299,HOLD,0.93687
2026-07-30,JNJ/MRK,0.2397,EXIT,1.143399
2026-07-30,JNJ/AMGN,-0.2158,EXIT,0.935237
2026-07-30,NVDA/MU,-1.0288,HOLD,0.784044
2026-07-30,MU/KLAC,2.38,ENTER_SHORT_Y,1.286662
2026-07-30,NVDA/ADI,-0.4456,EXIT,0.894001
2026-07-30,NVDA/QCOM,0.7591,HOLD,1.041267
2026-07-30,MRK/BMY,-0.6625,HOLD,1.174444
2026-07-30,GOOGL/META,-1.5419,HOLD,0.916897
2026-07-30,AAPL/META,0.9488,HOLD,0.917584
2026-07-31,JPM/BAC,1.5363,HOLD,1.421313
2026-07-31,DDOG/CRWD,0.9304,HOLD,1.068465
2026-07-31,NVDA/AMD,-1.5726,HOLD,0.854915
2026-07-31,NVDA/INTC,-0.7337,HOLD,1.172417
2026-07-31,PFE/GILD,0.1583,EXIT,0.659786
2026-07-31,NVDA/TXN,-0.6346,HOLD,0.938507
2026-07-31,KO/SBUX,2.0997,ENTER_SHORT_Y,0.960947
2026-07-31,JNJ/MRK,0.1289,EXIT,1.141511
2026-07-31,JNJ/AMGN,-0.1379,EXIT,0.933804
2026-07-31,NVDA/MU,-0.6589,HOLD,0.784811
2026-07-31,MU/KLAC,1.937,HOLD,1.288469
2026-07-31,NVDA/ADI,-0.1837,EXIT,0.894165
2026-07-31,NVDA/QCOM,1.1628,HOLD,1.047628
2026-07-31,NVDA/KLAC,-0.2268,EXIT,1.010932
2026-07-31,MRK/AMGN,-0.106,EXIT,0.818274
2026-07-31,MRK/BMY,-0.6854,HOLD,1.171851
2026-07-31,GOOGL/META,-0.8838,HOLD,0.92233
2026-07-31,LRCX/KLAC,0.9584,HOLD,1.085963
2026-07-31,AMAT/MU,0.2921,EXIT,0.92389
2026-07-31,AAPL/META,-0.0808,EXIT,0.91179
2026-08-03,JPM/BAC,1.3041,HOLD,1.42091
2026-08-03,DDOG/CRWD,0.2516,EXIT,1.065104
2026-08-03,NVDA/AMD,-0.0936,EXIT,0.860786
2026-08-03,NVDA/INTC,0.6207,HOLD,1.179266
2026-08-03,PFE/GILD,0.0453,EXIT,0.660083
2026-08-03,NVDA/TXN,0.6224,HOLD,0.946086
2026-08-03,JNJ/MRK,0.1605,EXIT,1.141342
2026-08-03,KO/SBUX,1.8429,HOLD,0.960289
2026-08-03,JNJ/AMGN,-0.2507,EXIT,0.932519
2026-08-03,NVDA/MU,0.4779,EXIT,0.79088
2026-08-03,MU/KLAC,2.2787,ENTER_SHORT_Y,1.290219
2026-08-03,NVDA/ADI,0.9373,HOLD,0.899985
2026-08-03,MRK/AMGN,-0.2409,EXIT,0.81718
2026-08-03,GOOGL/META,0.6172,HOLD,0.925023
2026-08-03,MRK/BMY,-1.3836,HOLD,1.167058
2026-08-03,LRCX/KLAC,1.0421,HOLD,1.088102
2026-08-03,AMAT/MU,0.3549,EXIT,0.92681
2026-08-04,JPM/BAC,1.8926,HOLD,1.420035
2026-08-04,DDOG/CRWD,-0.4096,EXIT,1.060255
2026-08-04,NVDA/AMD,-0.0238,EXIT,0.857795
2026-08-04,NVDA/INTC,0.6919,HOLD,1.172107
2026-08-04,PFE/GILD,0.4805,EXIT,0.66123
2026-08-04,NVDA/TXN,0.6975,HOLD,0.946974
2026-08-04,KO/SBUX,1.7131,HOLD,0.960548
2026-08-04,JNJ/MRK,0.0108,EXIT,1.141186
2026-08-04,JNJ/AMGN,-0.5988,HOLD,0.93148
2026-08-04,NVDA/MU,0.609,HOLD,0.788023
2026-08-04,MU/KLAC,1.7149,HOLD,1.290118
2026-08-04,NVDA/ADI,1.0208,HOLD,0.90052
2026-08-04,MRK/AMGN,-0.4869,EXIT,0.81635
2026-08-04,MRK/BMY,-0.8995,HOLD,1.166396
2026-08-04,GOOGL/META,0.4642,EXIT,0.927828
2026-08-04,LRCX/KLAC,0.6628,HOLD,1.088915
2026-08-04,AMAT/MU,0.4599,EXIT,0.926606
2026-08-04,AAPL/META,0.7487,HOLD,0.901951
2026-08-05,JPM/BAC,1.6458,HOLD,1.419808
2026-08-05,DDOG/CRWD,-0.5936,HOLD,1.058377
2026-08-05,NVDA/AMD,1.3687,HOLD,0.864686
2026-08-05,NVDA/INTC,1.7006,HOLD,1.171018
2026-08-05,PFE/GILD,0.7252,HOLD,0.661681
2026-08-05,KO/SBUX,1.4888,HOLD,0.959163
2026-08-05,NVDA/TXN,1.645,HOLD,0.951439
2026-08-05,JNJ/MRK,0.4415,EXIT,1.141847
2026-08-05,JNJ/AMGN,-1.7191,HOLD,0.92785
2026-08-05,NVDA/MU,1.4559,HOLD,0.789635
2026-08-05,MU/KLAC,1.9235,HOLD,1.291708
2026-08-05,MRK/BMY,-0.4023,EXIT,1.166343
2026-08-05,GOOGL/META,0.5005,HOLD,0.929395
2026-08-05,LRCX/KLAC,0.6779,HOLD,1.089946
2026-08-05,AMAT/MU,0.1561,EXIT,0.924837
2026-08-06,JPM/BAC,1.1793,HOLD,1.419204
2026-08-06,NVDA/AMD,1.1203,HOLD,0.866983
2026-08-06,DDOG/CRWD,-3.0281,ENTER_LONG_Y,1.04511
2026-08-06,NVDA/INTC,1.503,HOLD,1.169663
2026-08-06,PFE/GILD,1.2711,HOLD,0.664476
2026-08-06,NVDA/TXN,1.4397,HOLD,0.953188
2026-08-06,KO/SBUX,1.7296,HOLD,0.959262
2026-08-06,JNJ/MRK,0.3567,EXIT,1.142199
2026-08-06,NVDA/MU,1.317,HOLD,0.791464
2026-08-06,MU/KLAC,1.5596,HOLD,1.289298
2026-08-06,JNJ/AMGN,-1.522,HOLD,0.926305
2026-08-06,MRK/BMY,-0.4536,EXIT,1.167153
2026-08-06,GOOGL/META,0.1998,EXIT,0.924365
2026-08-06,LRCX/KLAC,0.3261,EXIT,1.08805
2026-08-06,AMAT/MU,0.1091,EXIT,0.924538
2026-08-07,JPM/BAC,1.1479,HOLD,1.419032
2026-08-07,NVDA/AMD,1.9256,HOLD,0.871533
2026-08-07,DDOG/CRWD,-3.2868,ENTER_LONG_Y,1.033639
2026-08-07,NVDA/INTC,2.1515,ENTER_SHORT_Y,1.171092
2026-08-07,KO/SBUX,1.3403,HOLD,0.958032
2026-08-07,PFE/GILD,1.4742,HOLD,0.666502
2026-08-07,NVDA/TXN,1.9671,HOLD,0.955806
2026-08-07,JNJ/MRK,0.5261,HOLD,1.142899
2026-08-07,MU/KLAC,1.2416,HOLD,1.286073
2026-08-07,NVDA/MU,1.9451,HOLD,0.796057
2026-08-07,MRK/BMY,-0.8278,HOLD,1.165828
