ticker,description,type,mic,adv,n_bars,last_price
OFIX,ORTHOFIX MEDICAL INC,Common Stock,XNAS,3241016.5380954742,276,9.430000305175781
OEC,ORION SA,Common Stock,XNYS,3292623.1764554977,276,5.869999885559082
SCZM,SANTACRUZ SILVER MINING LTD,Common Stock,XNAS,3345601.497030258,276,9.199999809265137
LWAY,LIFEWAY FOODS INC,Common Stock,XNAS,3373168.511581421,276,25.90999984741211
BNED,BARNES & NOBLE EDUCATION INC,Common Stock,XNYS,3403643.877220154,276,11.789999961853027
ESEA,EUROSEAS LTD,Common Stock,XNAS,3436897.929382324,276,76.7300033569336
RFIL,RF INDUSTRIES LTD,Common Stock,XNAS,3457240.486097336,276,10.0600004196167
CBIO,CRESCENT BIOPHARMA INC,Common Stock,XNAS,3488401.893043518,276,17.93000030517578
TITN,TITAN MACHINERY INC,Common Stock,XNAS,3495622.0438957214,276,20.540000915527344
TASK,TASKUS INC-A,Common Stock,XNAS,3505401.9567489624,276,7.760000228881836
BHB,BAR HARBOR BANKSHARES,Common Stock,XASE,3508323.0073928833,276,38.849998474121094
MTA,METALLA ROYALTY & STREAMING,Common Stock,XASE,3515521.067905426,276,9.869999885559082
CLMB,CLIMB GLOBAL SOLUTIONS INC,Common Stock,XNAS,3529753.4319877625,276,27.989999771118164
FOR,FORESTAR GROUP INC,Common Stock,XNYS,3559130.01203537,276,27.520000457763672
FFAI,FARADAY FUTURE INTELLIGENT E,Common Stock,XNAS,3601596.487670392,276,2.109999895095825
BCAL,CALIFORNIA BANCORP,Common Stock,XNAS,3675050.0133514404,276,21.09000015258789
ATOM,ATOMERA INC,Common Stock,XNAS,3732113.9684438705,276,3.940000057220459
GIC,GLOBAL INDUSTRIAL CO,Common Stock,XNYS,3732676.510620117,276,38.65999984741211
MLR,MILLER INDUSTRIES INC/TENN,Common Stock,XNYS,3750751.985168457,276,54.5
NRIM,NORTHRIM BANCORP INC,Common Stock,XNAS,3771792.002105713,276,25.3799991607666
TIPT,TIPTREE INC,Common Stock,XNAS,3775550.0286102295,276,18.31999969482422
OVID,OVID THERAPEUTICS INC,Common Stock,XNAS,3831484.0721488,276,2.759999990463257
INR,INFINITY NATURAL RESOUR-CL A,Common Stock,XNYS,3867563.054418564,276,15.609999656677246
ZUMZ,ZUMIEZ INC,Common Stock,XNAS,3882455.849456787,276,17.81999969482422
ZNTL,ZENTALIS PHARMACEUTICALS INC,Common Stock,XNAS,3886476.0344982147,276,3.7100000381469727
NMFC,NEW MOUNTAIN FINANCE CORP,Common Stock,XNAS,3936435.957288742,276,7.480000019073486
STRZ,STARZ ENTERTAINMENT CORP,Common Stock,XNAS,3999737.8828048706,276,26.520000457763672
LENZ,LENZ THERAPEUTICS INC,Common Stock,XNAS,4000087.8670215607,276,5.230000019073486
DOMO,DOMO INC - CLASS B,Common Stock,XNAS,4020922.472202778,276,3.680000066757202
GSIT,GSI TECHNOLOGY INC,Common Stock,XNAS,4172814.0978097916,276,5.340000152587891
CUE,CUE BIOPHARMA INC,Common Stock,XNAS,4185595.733833313,276,28.440000534057617
SLRC,SLR INVESTMENT CORP,Common Stock,XNAS,4211033.427400589,276,12.645000457763672
NEXN,NEXXEN INTERNATIONAL LTD,Common Stock,XNAS,4236377.444791794,276,9.600000381469727
BWFG,BANKWELL FINANCIAL GROUP INC,Common Stock,XNAS,4248566.384887695,276,65.45999908447266
CPS,COOPER-STANDARD HOLDING,Common Stock,XNYS,4318877.460289001,276,25.25
BCSF,BAIN CAPITAL SPECIALTY FINAN,Common Stock,XNYS,4337804.4942855835,276,11.899999618530273
PRTA,PROTHENA CORP PLC,Common Stock,XNAS,4374635.12840271,276,9.609999656677246
LILA,LIBERTY LATIN AMERIC-CL A,Common Stock,XNAS,4420725.4422187805,276,8.5600004196167
CMCL,CALEDONIA MINING CORP PLC,Common Stock,XASE,4429829.446983337,276,25.06999969482422
ARDT,ARDENT HEALTH INC,Common Stock,XNYS,4514845.477581024,276,10.9399995803833
ATS,ATS CORP,Common Stock,XNYS,4525883.035945892,276,18.489999771118164
PDEX,PRO-DEX INC,Common Stock,XNAS,4553477.996826172,276,61.400001525878906
TBN,TAMBORAN RESOURCES CORP,Common Stock,XNYS,4576757.0063591,276,39.83000183105469
QUIK,QUICKLOGIC CORP,Common Stock,XNAS,4631451.515674591,276,10.5600004196167
ZURA,ZURA BIO LTD,Common Stock,XNAS,4634131.534576416,276,5.650000095367432
RXST,RXSIGHT INC,Common Stock,XNAS,4666987.643289566,276,6.989999771118164
ANGX,ANGEL STUDIOS INC,Common Stock,XNYS,4688305.547237396,245,4.340000152587891
KBDC,KAYNE ANDERSON BDC INC,Common Stock,XNYS,4695388.566446304,276,13.5
IMXI,INTERNATIONAL MONEY EXPRESS,Common Stock,XNAS,4753186.567163467,276,14.40999984741211
DSGR,DISTRIBUTION SOLUTIONS GROUP,Common Stock,XNAS,4764856.953048706,276,34.70000076293945
