cik,ticker,all_tickers,issuer_edgar,name_source,name_match,form,form25_date,exchange_now,first_bar,last_bar,bars_total,bars_after_form25,status
1868419,CYCU,CYCU|CYCUW,"Cycurion, Inc.","Cycurion, Inc.",True,25-NSE,2025-06-05,NasdaqGM,2025-02-18,2026-09-04,390,315,still-listed
1894057,PPYA,PPYA,Papaya Growth Opportunity Corp. I,Papaya Growth Opportunity Corp. I,True,25-NSE,2025-06-05,OTC Markets OTCPK,2022-03-04,2026-09-04,1131,315,otc-continuation
1900679,TETEF,TETEF|TETUF|TETWF,Technology & Telecommunication Acquisition Corp,Technology & Telecommunication Acquisition Corporation,True,25-NSE,2025-06-05,OTC Markets OTCPK,2022-03-09,2026-09-04,1128,315,otc-continuation
1624794,CSWI,CSWI,"CSW INDUSTRIALS, INC.",,False,25,2025-06-06,http:404,,,0,0,no-data
1852019,IXAQF,IXAQF|IXQWF,IX Acquisition Corp.,IX Acquisition Corp.,True,25-NSE,2025-06-06,OTC Markets OTCPK,2021-11-30,2026-09-04,1196,314,otc-continuation
1584754,PARENT,PARENT,ATECH,,False,25-NSE,2025-06-06,http:404,,,0,0,no-data
1774983,BROG,BROG,Brooge Energy Ltd,,False,25,2025-06-09,http:404,,,0,0,no-data
1822250,LOGC,LOGC,ContextLogic Inc.,ContextLogic Holdings Inc.,True,25,2025-06-09,OTC Markets OTCQB,2021-09-07,2026-09-04,1255,313,otc-continuation
1799983,GB,GB|GB-WT,Global Blue Group Holding AG,,False,25-NSE,2025-06-10,http:404,,,0,0,no-data
1772695,NOVA,NOVA,Sunnova Energy International Inc.,,False,25-NSE,2025-06-10,http:404,,,0,0,no-data
2025065,BSII,BSII|BSIIU|BSIIW,Black Spade Acquisition II Co,,False,25,2025-06-11,http:404,,,0,0,no-data
1004724,RHEP,RHEP|RHEPA|RHEPB,"REGIONAL HEALTH PROPERTIES, INC","Regional Health Properties, Inc.",True,25-NSE,2025-06-11,OTC Markets OTCQB,2021-09-07,2026-09-04,1255,311,otc-continuation
1592386,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",True,25,2025-06-16,NYSE,2021-09-07,2026-09-04,1255,308,still-listed
1601936,CYTOF,CYTOF,Altamira Therapeutics Ltd.,Altamira Therapeutics Ltd.,True,25-NSE,2025-06-17,OTC Markets OTCID,2021-09-07,2026-09-04,1255,307,otc-continuation
1163302,X,X,UNITED STATES STEEL CORP,,False,25-NSE,2025-06-18,http:404,,,0,0,no-data
1730773,BSFC,BSFC,Blue Star Foods Corp.,Blue Star Foods Corp.,True,25-NSE,2025-06-20,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,305,otc-continuation
1900402,EGRVF,EGRVF|EGSVF|EGUVF,Evergreen Corp,,False,25-NSE,2025-06-20,http:404,,,0,0,no-data
