event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret
f4_CRVO_2025-11-17,CRVO,form4_cluster_buy,2025-11-17T00:00:00,2025-11-18,2025-12-18,21,-0.048193,SPY,0.02483,-0.073023
f4_TPVG_2025-11-17,TPVG,form4_cluster_buy,2025-11-17T00:00:00,2025-11-18,2025-12-18,21,0.079143,SPY,0.02483,0.054312
f4_AP_2025-11-19,AP,form4_cluster_buy,2025-11-19T00:00:00,2025-11-20,2025-12-22,21,0.636735,SPY,0.052601,0.584134
f4_EML_2025-11-19,EML,form4_cluster_buy,2025-11-19T00:00:00,2025-11-20,2025-12-22,21,0.016598,SPY,0.052601,-0.036003
f4_GCBC_2025-11-19,GCBC,form4_cluster_buy,2025-11-19T00:00:00,2025-11-20,2025-12-22,21,0.086071,SPY,0.052601,0.03347
f4_CTEV_2025-11-20,CTEV,form4_cluster_buy,2025-11-20T00:00:00,2025-11-21,2025-12-23,21,-0.113328,SPY,0.046982,-0.16031
f4_SVCO_2025-11-20,SVCO,form4_cluster_buy,2025-11-20T00:00:00,2025-11-21,2025-12-23,21,0.023364,SPY,0.046982,-0.023618
f4_GRNT_2025-11-21,GRNT,form4_cluster_buy,2025-11-21T00:00:00,2025-11-24,2025-12-24,21,-0.057481,SPY,0.035425,-0.092907
f4_AEBI_2025-11-21,AEBI,form4_cluster_buy,2025-11-21T00:00:00,2025-11-24,2025-12-24,21,0.09891,SPY,0.035425,0.063485
f4_GLRE_2025-11-21,GLRE,form4_cluster_buy,2025-11-21T00:00:00,2025-11-24,2025-12-24,21,0.135764,SPY,0.035425,0.100339
f4_AISP_2025-11-24,AISP,form4_cluster_buy,2025-11-24T00:00:00,2025-11-25,2025-12-26,21,-0.213889,SPY,0.025673,-0.239562
f4_FOSL_2025-11-24,FOSL,form4_cluster_buy,2025-11-24T00:00:00,2025-11-25,2025-12-26,21,0.305085,SPY,0.025673,0.279412
f4_NTHI_2025-11-24,NTHI,form4_cluster_buy,2025-11-24T00:00:00,2025-11-25,2025-12-26,21,-0.030543,SPY,0.025673,-0.056216
f4_CBK_2025-11-25,CBK,form4_cluster_buy,2025-11-25T00:00:00,2025-11-26,2025-12-29,21,-0.011741,SPY,0.015011,-0.026752
f4_MLP_2025-11-26,MLP,form4_cluster_buy,2025-11-26T00:00:00,2025-11-28,2025-12-30,21,0.071924,SPY,0.008268,0.063657
f4_BWFG_2025-12-08,BWFG,form4_cluster_buy,2025-12-08T00:00:00,2025-12-09,2026-01-09,21,-0.023212,SPY,0.019151,-0.042363
f4_SRZN_2025-12-08,SRZN,form4_cluster_buy,2025-12-08T00:00:00,2025-12-09,2026-01-09,21,-0.163348,SPY,0.019151,-0.1825
f4_JFB_2025-12-10,JFB,form4_cluster_buy,2025-12-10T00:00:00,2025-12-11,2026-01-13,21,0.041612,SPY,0.009649,0.031963
f4_OFLX_2025-12-12,OFLX,form4_cluster_buy,2025-12-12T00:00:00,2025-12-15,2026-01-15,21,0.052937,SPY,0.019913,0.033023
f4_AARD_2025-12-12,AARD,form4_cluster_buy,2025-12-12T00:00:00,2025-12-15,2026-01-15,21,0.060815,SPY,0.019913,0.040902
f4_CJMB_2025-12-15,CJMB,form4_cluster_buy,2025-12-15T00:00:00,2025-12-16,2026-01-16,21,1.20339,SPY,0.021851,1.181539
f4_SI_2025-12-15,SI,form4_cluster_buy,2025-12-15T00:00:00,2025-12-16,2026-01-16,21,-0.14878,SPY,0.021851,-0.170631
f4_VRA_2025-12-15,VRA,form4_cluster_buy,2025-12-15T00:00:00,2025-12-16,2026-01-16,21,0.308756,SPY,0.021851,0.286905
f4_BCIC_2025-12-16,BCIC,form4_cluster_buy,2025-12-16T00:00:00,2025-12-17,2026-01-20,21,-0.003263,SPY,0.012187,-0.015449
f4_HYPD_2025-12-22,HYPD,form4_cluster_buy,2025-12-22T00:00:00,2025-12-23,2026-01-26,21,-0.2,SPY,0.006933,-0.206933
f4_TPVG_2025-12-22,TPVG,form4_cluster_buy,2025-12-22T00:00:00,2025-12-23,2026-01-26,21,0.0144,SPY,0.006933,0.007467
f4_GTE_2025-12-22,GTE,form4_cluster_buy,2025-12-22T00:00:00,2025-12-23,2026-01-26,21,0.3,SPY,0.006933,0.293067
f4_XZO_2025-12-22,XZO,form4_cluster_buy,2025-12-22T00:00:00,2025-12-23,2026-01-26,21,-0.080638,SPY,0.006933,-0.087572
f4_WHF_2025-12-29,WHF,form4_cluster_buy,2025-12-29T00:00:00,2025-12-30,2026-01-30,21,-0.037303,SPY,0.00722,-0.044522
f4_BOC_2025-12-30,BOC,form4_cluster_buy,2025-12-30T00:00:00,2025-12-31,2026-02-02,21,0.033145,SPY,0.019782,0.013362
f4_LMNR_2026-01-09,LMNR,form4_cluster_buy,2026-01-09T00:00:00,2026-01-12,2026-02-11,21,0.029949,SPY,-0.004603,0.034552
f4_ACRV_2026-01-16,ACRV,form4_cluster_buy,2026-01-16T00:00:00,2026-01-20,2026-02-19,21,-0.193878,SPY,0.010183,-0.204061
f4_IMRX_2026-01-16,IMRX,form4_cluster_buy,2026-01-16T00:00:00,2026-01-20,2026-02-19,21,0.098326,SPY,0.010183,0.088143
f4_NEWT_2026-01-16,NEWT,form4_cluster_buy,2026-01-16T00:00:00,2026-01-20,2026-02-19,21,-0.047267,SPY,0.010183,-0.057451
f4_SRZN_2026-01-20,SRZN,form4_cluster_buy,2026-01-20T00:00:00,2026-01-21,2026-02-20,21,0.387063,SPY,0.00588,0.381183
f4_ISBA_2026-01-23,ISBA,form4_cluster_buy,2026-01-23T00:00:00,2026-01-26,2026-02-25,21,-0.016355,SPY,0.000606,-0.016961
f4_NWFL_2026-01-29,NWFL,form4_cluster_buy,2026-01-29T00:00:00,2026-01-30,2026-03-03,21,-0.034834,SPY,-0.016821,-0.018013
f4_THM_2026-01-30,THM,form4_cluster_buy,2026-01-30T00:00:00,2026-02-02,2026-03-04,21,0.345528,SPY,-0.014783,0.360311
f4_CMTV_2026-02-05,CMTV,form4_cluster_buy,2026-02-05T00:00:00,2026-02-06,2026-03-10,21,0.023617,SPY,-0.019461,0.043078
f4_CING_2026-02-10,CING,form4_cluster_buy,2026-02-10T00:00:00,2026-02-11,2026-03-13,21,0.322679,SPY,-0.042878,0.365557
f4_LUCK_2026-02-13,LUCK,form4_cluster_buy,2026-02-13T00:00:00,2026-02-17,2026-03-18,21,-0.03209,SPY,-0.031369,-0.000721
f4_CNVS_2026-02-17,CNVS,form4_cluster_buy,2026-02-17T00:00:00,2026-02-18,2026-03-19,21,-0.191919,SPY,-0.038599,-0.15332
f4_TLSI_2026-02-23,TLSI,form4_cluster_buy,2026-02-23T00:00:00,2026-02-24,2026-03-25,21,-0.246241,SPY,-0.041807,-0.204433
f4_TBI_2026-02-26,TBI,form4_cluster_buy,2026-02-26T00:00:00,2026-02-27,2026-03-30,21,-0.108747,SPY,-0.076232,-0.032516
f4_CTEV_2026-03-02,CTEV,form4_cluster_buy,2026-03-02T00:00:00,2026-03-03,2026-04-01,21,-0.004731,SPY,-0.034249,0.029518
f4_LEE_2026-03-03,LEE,form4_cluster_buy,2026-03-03T00:00:00,2026-03-04,2026-04-02,21,-0.102508,SPY,-0.040151,-0.062357
