event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_BPRN_2025-11-06,BPRN,form4_cluster_buy,2025-11-06T00:00:00,2025-11-07,2026-02-10,63,0.094764,SPY,0.03457,0.060195,ok
f4_NVCT_2025-11-06,NVCT,form4_cluster_buy,2025-11-06T00:00:00,2025-11-07,2026-02-10,63,0.423453,SPY,0.03457,0.388883,ok
f4_XZO_2025-11-07,XZO,form4_cluster_buy,2025-11-07T00:00:00,2025-11-10,2026-02-11,63,-0.183789,SPY,0.018438,-0.202228,ok
f4_FDBC_2025-11-10,FDBC,form4_cluster_buy,2025-11-10T00:00:00,2025-11-11,2026-02-12,63,0.034792,SPY,0.000415,0.034378,ok
f4_LENZ_2025-11-10,LENZ,form4_cluster_buy,2025-11-10T00:00:00,2025-11-11,2026-02-12,63,-0.509641,SPY,0.000415,-0.510055,ok
f4_GBFH_2025-11-12,GBFH,form4_cluster_buy,2025-11-12T00:00:00,2025-11-13,2026-02-17,63,-0.057881,SPY,0.019088,-0.076969,ok
f4_WEST_2025-11-12,WEST,form4_cluster_buy,2025-11-12T00:00:00,2025-11-13,2026-02-17,63,0.140878,SPY,0.019088,0.12179,ok
f4_ARQ_2025-11-13,ARQ,form4_cluster_buy,2025-11-13T00:00:00,2025-11-14,2026-02-18,63,-0.01983,SPY,0.024389,-0.044219,ok
f4_RGP_2025-11-13,RGP,form4_cluster_buy,2025-11-13T00:00:00,2025-11-14,2026-02-18,63,-0.19375,SPY,0.024389,-0.218139,ok
f4_SENS_2025-11-13,SENS,form4_cluster_buy,2025-11-13T00:00:00,2025-11-14,2026-02-18,63,0.265176,SPY,0.024389,0.240786,ok
f4_FRPH_2025-11-14,FRPH,form4_cluster_buy,2025-11-14T00:00:00,2025-11-17,2026-02-19,63,0.027015,SPY,0.031296,-0.00428,ok
f4_WHF_2025-11-14,WHF,form4_cluster_buy,2025-11-14T00:00:00,2025-11-17,2026-02-19,63,-0.069038,SPY,0.031296,-0.100334,ok
f4_CRVO_2025-11-17,CRVO,form4_cluster_buy,2025-11-17T00:00:00,2025-11-18,2026-02-20,63,-0.442169,SPY,0.047551,-0.489719,ok
f4_AP_2025-11-19,AP,form4_cluster_buy,2025-11-19T00:00:00,2025-11-20,2026-02-24,63,2.742857,SPY,0.056474,2.686383,ok
f4_EML_2025-11-19,EML,form4_cluster_buy,2025-11-19T00:00:00,2025-11-20,2026-02-24,63,-0.042095,SPY,0.056474,-0.098569,ok
f4_GCBC_2025-11-19,GCBC,form4_cluster_buy,2025-11-19T00:00:00,2025-11-20,2026-02-24,63,0.045154,SPY,0.056474,-0.01132,ok
f4_CTEV_2025-11-20,CTEV,form4_cluster_buy,2025-11-20T00:00:00,2025-11-21,2026-02-25,63,-0.685484,SPY,0.054881,-0.740365,ok
f4_SVCO_2025-11-20,SVCO,form4_cluster_buy,2025-11-20T00:00:00,2025-11-21,2026-02-25,63,-0.198598,SPY,0.054881,-0.253479,ok
f4_GRNT_2025-11-21,GRNT,form4_cluster_buy,2025-11-21T00:00:00,2025-11-24,2026-02-26,63,0.031703,SPY,0.033806,-0.002102,ok
f4_AEBI_2025-11-21,AEBI,form4_cluster_buy,2025-11-21T00:00:00,2025-11-24,2026-02-26,63,0.238402,SPY,0.033806,0.204597,ok
f4_GLRE_2025-11-21,GLRE,form4_cluster_buy,2025-11-21T00:00:00,2025-11-24,2026-02-26,63,0.115593,SPY,0.033806,0.081788,ok
f4_AISP_2025-11-24,AISP,form4_cluster_buy,2025-11-24T00:00:00,2025-11-25,2026-02-27,63,-0.241667,SPY,0.019254,-0.260921,ok
