event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_TLSI_2025-01-31,TLSI,form4_cluster_buy,2025-01-31T00:00:00,2025-02-03,2025-05-05,63,-0.0394,SPY,-0.054477,0.015078,ok
f4_INR_2025-02-03,INR,form4_cluster_buy,2025-02-03T00:00:00,2025-02-04,2025-05-06,63,-0.240465,SPY,-0.068628,-0.171837,ok
f4_ZNTL_2025-02-04,ZNTL,form4_cluster_buy,2025-02-04T00:00:00,2025-02-05,2025-05-07,63,-0.425234,SPY,-0.068488,-0.356746,ok
f4_ORRF_2025-02-06,ORRF,form4_cluster_buy,2025-02-06T00:00:00,2025-02-07,2025-05-09,63,-0.103393,SPY,-0.057813,-0.04558,ok
f4_FRAF_2025-02-07,FRAF,form4_cluster_buy,2025-02-07T00:00:00,2025-02-10,2025-05-12,63,0.044975,SPY,-0.033242,0.078217,ok
f4_EFSI_2025-02-10,EFSI,form4_cluster_buy,2025-02-10T00:00:00,2025-02-11,2025-05-13,63,-0.034216,SPY,-0.027597,-0.006619,ok
f4_NEWT_2025-02-10,NEWT,form4_cluster_buy,2025-02-10T00:00:00,2025-02-11,2025-05-13,63,-0.084115,SPY,-0.027597,-0.056518,ok
f4_EAF_2025-02-13,EAF,form4_cluster_buy,2025-02-13T00:00:00,2025-02-14,2025-05-16,63,-0.198246,SPY,-0.022491,-0.175755,ok
f4_RCEL_2025-02-20,RCEL,form4_cluster_buy,2025-02-20T00:00:00,2025-02-21,2025-05-22,63,-0.34359,SPY,-0.025162,-0.318427,ok
f4_CPS_2025-02-25,CPS,form4_cluster_buy,2025-02-25T00:00:00,2025-02-26,2025-05-28,63,0.492386,SPY,-0.00848,0.500866,ok
f4_TBI_2025-02-27,TBI,form4_cluster_buy,2025-02-27T00:00:00,2025-02-28,2025-05-30,63,-0.044586,SPY,-0.005077,-0.039509,ok
f4_VNDA_2025-02-28,VNDA,form4_cluster_buy,2025-02-28T00:00:00,2025-03-03,2025-06-02,63,-0.088983,SPY,0.018368,-0.107351,ok
f4_JELD_2025-03-03,JELD,form4_cluster_buy,2025-03-03T00:00:00,2025-03-04,2025-06-03,63,-0.287546,SPY,0.036444,-0.32399,ok
f4_OSUR_2025-03-03,OSUR,form4_cluster_buy,2025-03-03T00:00:00,2025-03-04,2025-06-03,63,-0.121662,SPY,0.036444,-0.158106,ok
f4_INGN_2025-03-04,INGN,form4_cluster_buy,2025-03-04T00:00:00,2025-03-05,2025-06-04,63,-0.2237,SPY,0.025148,-0.248848,ok
f4_THM_2025-03-05,THM,form4_cluster_buy,2025-03-05T00:00:00,2025-03-06,2025-06-05,63,0.655172,SPY,0.03863,0.616542,ok
f4_IHRT_2025-03-10,IHRT,form4_cluster_buy,2025-03-10T00:00:00,2025-03-11,2025-06-10,63,0.097561,SPY,0.088096,0.009465,ok
f4_AMPY_2025-03-12,AMPY,form4_cluster_buy,2025-03-12T00:00:00,2025-03-13,2025-06-12,63,-0.117333,SPY,0.098194,-0.215528,ok
f4_CRMT_2025-03-12,CRMT,form4_cluster_buy,2025-03-12T00:00:00,2025-03-13,2025-06-12,63,0.104728,SPY,0.098194,0.006534,ok
f4_KRO_2025-03-12,KRO,form4_cluster_buy,2025-03-12T00:00:00,2025-03-13,2025-06-12,63,-0.149315,SPY,0.098194,-0.247509,ok
f4_ADV_2025-03-13,ADV,form4_cluster_buy,2025-03-13T00:00:00,2025-03-14,2025-06-13,63,-0.152941,SPY,0.06394,-0.216881,ok
f4_CJMB_2025-03-14,CJMB,form4_cluster_buy,2025-03-14T00:00:00,2025-03-17,2025-06-16,63,-0.264448,SPY,0.065843,-0.330292,ok
f4_AFCG_2025-03-17,AFCG,form4_cluster_buy,2025-03-17T00:00:00,2025-03-18,2025-06-17,63,-0.292733,SPY,0.068282,-0.361015,ok
f4_BBCP_2025-03-17,BBCP,form4_cluster_buy,2025-03-17T00:00:00,2025-03-18,2025-06-17,63,0.038261,SPY,0.068282,-0.030021,ok
f4_FNKO_2025-03-17,FNKO,form4_cluster_buy,2025-03-17T00:00:00,2025-03-18,2025-06-17,63,-0.335203,SPY,0.068282,-0.403485,ok
f4_SLRC_2025-03-17,SLRC,form4_cluster_buy,2025-03-17T00:00:00,2025-03-18,2025-06-17,63,-0.023854,SPY,0.068282,-0.092136,ok
f4_TCPC_2025-03-17,TCPC,form4_cluster_buy,2025-03-17T00:00:00,2025-03-18,2025-06-17,63,-0.011772,SPY,0.068282,-0.080054,ok
f4_LYEL_2025-03-18,LYEL,form4_cluster_buy,2025-03-18T00:00:00,2025-03-19,2025-06-18,63,-0.176976,SPY,0.056613,-0.233589,ok
f4_MVBF_2025-03-18,MVBF,form4_cluster_buy,2025-03-18T00:00:00,2025-03-19,2025-06-18,63,0.16739,SPY,0.056613,0.110776,ok
f4_MX_2025-03-18,MX,form4_cluster_buy,2025-03-18T00:00:00,2025-03-19,2025-06-18,63,-0.051724,SPY,0.056613,-0.108337,ok
